,EXG Channel 0
353,394.8137585222721
354,350.1743126511574
355,307.3300187587738
356,423.17715978622437
357,370.7587220072746
358,334.61632883548737
359,391.3431313633919
360,387.27412021160126
361,320.4944666028023
362,366.92906445264816
363,421.3820078074932
364,372.5538739860058
365,339.7624311745167
366,424.85263496637344
367,371.4767827987671
368,321.69123458862305
369,345.5069175064564
370,371.59645959734917
371,340.83952236175537
372,346.70368549227715
373,352.44817182421684
374,319.2976986169815
375,349.21689826250076
376,386.0773522257805
377,368.60453963279724
378,342.3953207433224
379,370.63904520869255
380,373.0325811803341
381,315.46804106235504
382,385.4789682328701
383,374.5883795619011
384,337.0098648071289
385,388.94959539175034
386,399.1221232712269
387,325.5208921432495
388,330.1882872879505
389,413.0046319067478
390,338.32630959153175
391,329.350549697876
392,370.16033801436424
393,382.4870482683182
394,330.906348079443
395,347.66109988093376
396,390.2660401761532
397,386.5560594201088
398,357.11556696891785
399,393.3776369392872
400,369.9209844172001
401,343.352735131979
402,385.359291434288
403,389.90700978040695
404,323.12735617160797
405,398.6434160768986
406,429.40035331249237
407,356.2778293788433
408,302.42327001690865
409,373.27193477749825
410,374.9474099576473
411,350.6530198454857
412,369.9209844172001
413,403.6698416173458
414,327.5553977191448
415,373.3916115760803
416,405.2256399989128
417,328.2734585106373
418,345.02821031212807
419,413.243985503912
420,363.81746768951416
421,364.0568212866783
422,364.29617488384247
423,375.42611715197563
424,354.00397020578384
425,347.18239268660545
426,373.6309651732445
427,326.4783065319061
428,323.4863865673542
429,375.30644035339355
430,370.3996916115284
431,355.44009178876877
432,401.39598244428635
433,352.687525421381
434,320.01575940847397
435,364.41585168242455
436,371.357106000185
437,356.15815258026123
438,348.6185142695904
439,395.05311211943626
440,353.40558621287346
441,327.794751316309
442,389.5479793846607
443,365.7322964668274
444,324.4438009560108
445,377.1015923321247
446,393.3776369392872
447,316.3057786524296
448,324.80283135175705
449,400.1992144584656
450,359.62877973914146
451,402.7124272286892
452,385.11993783712387
453,368.00615563988686
454,348.13980707526207
455,392.06119215488434
456,407.4994991719723
457,352.5678486227989
458,345.3872407078743
459,393.3776369392872
460,368.9635700285435
461,313.0745050907135
462,423.0574829876423
463,395.4121425151825
464,310.4416155219078
465,342.6346743404865
466,388.1118578016758
467,329.47022649645805
468,420.54427021741867
469,363.45843729376793
470,327.5553977191448
471,390.50539377331734
472,337.24921840429306
473,302.1839164197445
474,400.5582448542118
475,384.76090744137764
476,324.683154553175
477,378.7770675122738
478,413.4833391010761
479,322.4092953801155
480,305.05615958571434
481,398.4040624797344
482,365.6126196682453
483,317.02383944392204
484,401.1566288471222
485,411.20947992801666
486,280.8814462721348
487,352.92687901854515
488,405.10596320033073
489,287.9423773884773
490,317.50254663825035
491,428.44293892383575
492,363.81746768951416
493,316.1861018538475
494,382.00834107398987
495,397.4466480910778
496,309.72355473041534
497,348.6185142695904
498,420.18523982167244
499,349.69560545682907
500,314.5106266736984
501,392.7792529463768
502,354.8417077958584
503,314.98933386802673
504,319.17802181839943
505,414.2013998925686
506,365.49294286966324
507,333.65891444683075
508,401.27630564570427
509,415.87687507271767
510,294.7639549076557
511,325.1618617475033
512,403.0714576244354
513,369.3226004242897
514,356.63685977458954
515,393.8563441336155
516,360.70587092638016
517,316.7844858467579
518,410.3717423379421
519,411.5685103237629
520,323.84541696310043
521,343.47241193056107
522,419.9458862245083
523,411.4488335251808
524,338.80501678586006
525,385.11993783712387
526,403.3108112215996
527,360.9452245235443
528,360.1074869334698
529,407.4994991719723
530,354.1236470043659
531,319.7764058113098
532,382.4870482683182
533,409.8930351436138
534,340.6001687645912
535,317.3828698396683
536,388.35121139883995
537,387.6331506073475
538,306.3726043701172
539,396.9679408967495
540,449.6257322728634
541,314.86965706944466
542,330.3079640865326
543,413.4833391010761
544,378.41803711652756
545,314.98933386802673
546,399.72050726413727
547,406.3027311861515
548,331.7440856695175
549,373.6309651732445
550,406.4224079847336
551,337.4885720014572
552,313.1941818892956
553,407.14046877622604
554,347.4217462837696
555,320.61414340138435
556,410.73077273368835
557,349.21689826250076
558,371.23742920160294
559,383.56413945555687
560,318.3402842283249
561,359.8681333363056
562,429.99873730540276
563,350.89237344264984
564,334.25729843974113
565,386.79541301727295
566,402.47307363152504
567,305.05615958571434
568,364.29617488384247
569,425.33134216070175
570,340.241138368845
571,355.2007381916046
572,465.1837160885334
573,343.7117655277252
574,299.6707036495209
575,396.60891050100327
576,381.4099570810795
577,312.71547469496727
578,371.8358131945133
579,446.8731659054756
580,323.84541696310043
581,323.4863865673542
582,409.0552975535393
583,334.61632883548737
