Channel 0 Filtered,Channel 1 Filtered
0.008090020636289778,0.011511655816039619
0.11321187615599705,0.13149406524269863
0.18150189801527739,0.2090739855138646
0.19877152256569036,0.22833820947621236
0.17838925194060817,0.2053153454571173
0.14654597513437637,0.17036969059946094
0.12274658478962631,0.14543638914930607
0.11159175409366076,0.13493425522462782
0.10683521171116547,0.13096414085034674
0.10015972684149815,0.12364502024090242
0.0885387300860293,0.10959603403442288
0.07526965875182762,0.09302830763177691
0.06454920209857673,0.07932913936858457
0.05688071696476653,0.06956466742529033
0.050029124566541905,0.06131081715220581
0.042238078829624826,0.05217385746284077
0.03412977657915979,0.04220141419007195
0.02844757875825703,0.03413211557123481
0.027107137318789755,0.030324987590726958
0.028076210084393656,0.02902049500916251
0.0264571852223667,0.025215189643958004
0.01867731626716447,0.01515876169218616
0.00513704770193856,-0.0007307991688865639
-0.009844602041364987,-0.017794030596430782
-0.02013933664881727,-0.029288663997928104
-0.02178095833309314,-0.030794485581414986
-0.01602160935238035,-0.023722559655072712
-0.008387101114751147,-0.014311186861876584
-0.005109077755033374,-0.009633528322956018
-0.009783865365490058,-0.013822599548630786
-0.021364002859632594,-0.02580348786912619
-0.034733255131264844,-0.040040540750623146
-0.04409364041750098,-0.05041019674781684
-0.04635561852264229,-0.05378280527307699
-0.04232355870387748,-0.05099669368787584
-0.035908444266814776,-0.045869113416122445
-0.03147942987760084,-0.04240087092068651
-0.030487732345041246,-0.04131303507025217
-0.030762750073729223,-0.03972704691712059
-0.02931969661766539,-0.03473252227481907
-0.025250214631347974,-0.026570709042936486
-0.020253069739975815,-0.018583003411079727
-0.017220123721376785,-0.014772715643046186
-0.017846478084898636,-0.016636272871631958
-0.020993808839375502,-0.021615085902052425
-0.02366265364630392,-0.025102948782632736
-0.02351461593051694,-0.024072908487227214
-0.020246220080587775,-0.018689836487466985
-0.015263818938416784,-0.011440765520930584
-0.010714032899129828,-0.0055089131576630925
-0.008507767250089506,-0.0034009262467043604
-0.009620688802960428,-0.006082143198797141
-0.01343991170100735,-0.01221963647362595
-0.016993621855301892,-0.017417979375334056
-0.015638812534840375,-0.015445010957782394
-0.006387677342433609,-0.0026759266674960315
0.008789669166262056,0.017827692420545646
0.023372625788764128,0.0371886894614816
0.03026777198422359,0.04609958896619244
0.02627022244605414,0.040550353029774534
0.014066970798231776,0.02412833815026489
0.0003053504575972944,0.005331386027636662
-0.008831505019707725,-0.007999850868904958
-0.010767052578581932,-0.012519584069361551
-0.006452882411269461,-0.009318052007404792
0.0014950481197445534,-0.0017030094586393911
0.010452276097624306,0.006921287225463618
0.018290209294721436,0.013925833490782682
0.022854879693737448,0.017010585339796182
0.021928013026293346,0.014054321615281654
0.014773730970899129,0.004610635051349181
0.003788205311738772,-0.008441037143419226
-0.0058752343810033305,-0.01932368570142701
-0.00876802881598505,-0.021980224324238223
-0.002361929701320686,-0.013647565187204823
0.010772572042218034,0.002557885872300835
0.023828024189516704,0.018603200500475536
0.029766849214136783,0.026316113386738754
0.025646931637380598,0.02247738065412102
0.014279586349418092,0.01056413809936183
0.0023801803878697628,-0.0016660140359880103
-0.0036926981998988626,-0.007151059532795786
-0.001868252834400514,-0.0037859325796048508
0.004999218742991801,0.005178193440658347
0.011974263994264876,0.014415701835242685
0.015644527654124656,0.02032464942067736
0.01581348392668108,0.022648335878382865
0.01438922489649858,0.023152461888594537
0.0128057761473779,0.022820025928438896
0.011005991875688322,0.020985119000019325
0.009139786635291244,0.017712211881686847
0.008982004387071418,0.015692737912607814
0.012091863895689616,0.017854185233075692
0.016260280847026375,0.022496122181152694
0.014627902644553284,0.021578517759702286
0.0003233178343434916,0.006140983675556665
-0.02559743547129671,-0.023613766484252747
-0.050927568742882304,-0.053663570094258775
-0.0602058613374134,-0.06531206920208818
-0.048035292090918974,-0.05147187591249932
-0.023790856559576596,-0.022825374418034138
-0.002764907335750774,0.0024913803076461716
0.005955730789793119,0.013382446448722198
0.003528980121015355,0.010763682097204024
-0.003024309324549338,0.002565773956849081
-0.007451410416856749,-0.0039504997864159876
-0.008265518747920404,-0.006864902836863977
-0.008025111222139508,-0.008776924327989679
-0.00932982777459189,-0.012196306351782352
-0.011653759996385142,-0.016058624514919545
-0.01121299756579646,-0.015794449643604443
-0.0033999643967780407,-0.006181954670386252
0.012820441262105284,0.013612853619287156
0.0314858604958583,0.03607202823109157
0.04243010126190386,0.0487490428306646
0.039537617935212724,0.044278890600362414
0.025733667171025557,0.026396595394779867
0.009446268783906829,0.005541880756258056
-0.002399298596398698,-0.009698016279505423
-0.007609476352243853,-0.016422256868322334
-0.007516204003850727,-0.01589112176492624
-0.00481850494850178,-0.011100468508304762
-0.0022855603302770946,-0.005573388433325691
-0.002135676560257401,-0.0027629213708077064
-0.005629953637110971,-0.0052577584073048795
-0.012397440983173275,-0.013393675708771398
-0.019838186617371332,-0.0241192652080466
-0.024049109876165833,-0.03206762204491766
-0.022461678513888444,-0.03293096569406405
-0.01601064922539417,-0.026428870981851448
-0.008685616342352013,-0.016415183003253248
-0.004522311386750419,-0.00804361235867959
-0.004258825445022945,-0.003945858617821632
-0.004705672147879227,-0.002501057441218743
-0.0019265138696631591,7.94398080291122e-06
0.004561028920045349,0.005316243651119215
0.010676894036424495,0.01107245199183773
0.01086154293938169,0.012475354796915453
0.002807827021332422,0.006336472933749058
-0.009858574046240047,-0.005426535364021899
-0.019302176301700055,-0.015936162087207856
-0.01877230254038883,-0.017792623768617802
-0.007620104102119099,-0.00867915040641574
0.007819945950981028,0.0063213669705439205
0.01837667052925277,0.01785635508229755
0.018513091207142045,0.019045711900479833
0.010225468459100724,0.010637053073359439
0.0009157890255112979,-9.753618526748517e-05
-0.0029723412387425542,-0.005804679447182307
-0.0008030331278132511,-0.004780760204147896
0.00281881456388174,-0.0011363922776686936
0.0028356509745472366,-2.413227389493098e-05
-0.0017069453335014657,-0.0026586179622823856
-0.007244595875389918,-0.005716468502737562
-0.009417657163425557,-0.00529864591980766
-0.006921426396277655,-0.0008792581013718547
-0.001980223072431334,0.004672133766549472
0.0020070662691555026,0.00801385581258321
0.00305129646856567,0.007954737916975955
0.0017529317977893074,0.006100402113421988
0.0006065697099499514,0.005512241979191359
0.0020003646875220845,0.00842531425222677
0.006507217032372398,0.014775550881122172
0.012638886230229338,0.022414976475532714
0.017947898398923502,0.02850634051352562
0.020693407883450983,0.031218526303926252
0.020873318315879606,0.03059828162159848
