EXG Channel 0,EXG Channel 1,Timestamp,Timestamp (Formatted)
 -709.2047083973885, 533.9978752732277, 1.738099456737944E9, 2025-01-28 13:24:16.737
 -634.7657396793365, 598.6233465075493, 1.7380994567380059E9, 2025-01-28 13:24:16.738
 -509.82316195964813, 729.7891177535057, 1.7380994567670822E9, 2025-01-28 13:24:16.767
 -645.5366515517235, 588.0917882323265, 1.7380994567671404E9, 2025-01-28 13:24:16.767
 -678.3280943632126, 556.9758206009865, 1.7380994567675848E9, 2025-01-28 13:24:16.767
 -526.8172673583031, 713.7524267435074, 1.7380994567676158E9, 2025-01-28 13:24:16.767
 -588.809849023819, 651.041784286499, 1.7380994567680185E9, 2025-01-28 13:24:16.768
 -710.6408299803734, 533.5191680788994, 1.7380994567680423E9, 2025-01-28 13:24:16.768
 -574.2092795968056, 667.7965360879898, 1.7380994567969005E9, 2025-01-28 13:24:16.796
 -521.0727810263634, 721.1723882555962, 1.738099456796944E9, 2025-01-28 13:24:16.796
 -720.2149738669395, 525.6204993724823, 1.7380994567973657E9, 2025-01-28 13:24:16.797
 -636.9199220538139, 610.1123191714287, 1.7380994567974052E9, 2025-01-28 13:24:16.797
 -528.9714497327805, 716.6246699094772, 1.7380994567981768E9, 2025-01-28 13:24:16.798
 -654.153381049633, 588.809849023819, 1.738099456798226E9, 2025-01-28 13:24:16.798
 -684.0725806951523, 561.0448317527771, 1.738099456856819E9, 2025-01-28 13:24:16.856
 -534.7159360647202, 713.0343659520149, 1.738099456856877E9, 2025-01-28 13:24:16.856
 -602.6923576593399, 642.4250547885895, 1.7380994568573277E9, 2025-01-28 13:24:16.857
 -713.2737195491791, 535.6733504533768, 1.738099456857355E9, 2025-01-28 13:24:16.857
 -598.6233465075493, 646.9727731347084, 1.7380994568580537E9, 2025-01-28 13:24:16.858
 -525.3811457753181, 717.3427307009697, 1.7380994568580868E9, 2025-01-28 13:24:16.858
 -690.7744814157486, 555.3003454208374, 1.7380994568587403E9, 2025-01-28 13:24:16.858
 -645.5366515517235, 600.0594680905342, 1.7380994568588E9, 2025-01-28 13:24:16.858
 -519.1579522490501, 725.2413994073868, 1.7380994568595572E9, 2025-01-28 13:24:16.859
 -660.8552817702293, 585.4588986635208, 1.738099456859602E9, 2025-01-28 13:24:16.859
 -704.6569900512695, 544.0507263541222, 1.7380994568601217E9, 2025-01-28 13:24:16.860
 -554.5822846293449, 695.5615533590317, 1.7380994568601663E9, 2025-01-28 13:24:16.860
 -595.9904569387436, 648.6482483148575, 1.7380994568871446E9, 2025-01-28 13:24:16.887
 -718.3001450896263, 531.6043393015862, 1.7380994568871944E9, 2025-01-28 13:24:16.887
 -579.475058734417, 672.822961628437, 1.7380994568875277E9, 2025-01-28 13:24:16.887
 -533.7585216760635, 715.1885483264923, 1.7380994568875513E9, 2025-01-28 13:24:16.887
 -730.9858857393265, 520.1153666377068, 1.7380994568883972E9, 2025-01-28 13:24:16.888
 -638.3560436367989, 615.8568055033684, 1.7380994568884299E9, 2025-01-28 13:24:16.888
 -541.6571903824806, 712.7950123548508, 1.7380994569169114E9, 2025-01-28 13:24:16.916
 -683.1151663064957, 572.7731580138206, 1.7380994569169717E9, 2025-01-28 13:24:16.916
 -713.2737195491791, 538.5455936193466, 1.7380994569174964E9, 2025-01-28 13:24:16.917
 -555.7790526151657, 699.151857316494, 1.738099456917543E9, 2025-01-28 13:24:16.917
 -589.7672634124756, 660.1372209787369, 1.7380994569186769E9, 2025-01-28 13:24:16.918
 -738.1664936542511, 516.2857090830803, 1.738099456918735E9, 2025-01-28 13:24:16.918
 -607.2400760054588, 646.4940659403801, 1.73809945697691E9, 2025-01-28 13:24:16.976
 -554.3429310321808, 699.3912109136581, 1.7380994569769785E9, 2025-01-28 13:24:16.976
 -718.0607914924622, 539.5030080080032, 1.738099456977461E9, 2025-01-28 13:24:16.977
 -652.9566130638123, 605.8039544224739, 1.738099456977498E9, 2025-01-28 13:24:16.977
 -532.0830464959145, 727.8742889761925, 1.7380994569783046E9, 2025-01-28 13:24:16.978
 -673.7803760170937, 581.3898875117302, 1.7380994569783502E9, 2025-01-28 13:24:16.978
 -699.6305645108223, 560.3267709612846, 1.7380994569787157E9, 2025-01-28 13:24:16.978
 -564.8744893074036, 690.2957742214203, 1.738099456978838E9, 2025-01-28 13:24:16.978
 -628.0638389587402, 631.6541429162025, 1.738099456979385E9, 2025-01-28 13:24:16.979
 -723.3265706300735, 538.0668864250183, 1.7380994569794312E9, 2025-01-28 13:24:16.979
 -590.9640313982964, 666.8391216993332, 1.7380994569802563E9, 2025-01-28 13:24:16.980
 -572.2944508194923, 687.4235310554504, 1.7380994569803004E9, 2025-01-28 13:24:16.980
 -733.6187753081322, 525.3811457753181, 1.7380994570069983E9, 2025-01-28 13:24:17.006
 -652.7172594666481, 609.1549047827721, 1.7380994570070455E9, 2025-01-28 13:24:17.007
 -535.6733504533768, 723.0872170329094, 1.738099457007312E9, 2025-01-28 13:24:17.007
 -680.48227673769, 574.6879867911339, 1.738099457007338E9, 2025-01-28 13:24:17.007
 -727.8742889761925, 534.7159360647202, 1.7380994570081894E9, 2025-01-28 13:24:17.008
 -566.0712572932243, 691.0138350129128, 1.7380994570083835E9, 2025-01-28 13:24:17.008
 -600.2988216876984, 659.1798065900803, 1.7380994570368967E9, 2025-01-28 13:24:17.036
 -733.6187753081322, 528.253388941288, 1.7380994570369637E9, 2025-01-28 13:24:17.036
 -574.2092795968056, 690.0564206242561, 1.738099457037216E9, 2025-01-28 13:24:17.037
 -550.5132734775543, 705.375050842762, 1.7380994570373075E9, 2025-01-28 13:24:17.037
 -725.0020458102226, 533.5191680788994, 1.7380994570383832E9, 2025-01-28 13:24:17.038
 -668.2752432823181, 597.6659321188927, 1.7380994570384243E9, 2025-01-28 13:24:17.038
 -548.1197375059128, 706.8111724257469, 1.73809945709696E9, 2025-01-28 13:24:17.096
 -685.7480558753014, 571.0976828336716, 1.7380994570970137E9, 2025-01-28 13:24:17.097
 -728.5923497676849, 529.6895105242729, 1.738099457097462E9, 2025-01-28 13:24:17.097
 -539.9817152023315, 714.9491947293282, 1.7380994570975006E9, 2025-01-28 13:24:17.097
 -632.1328501105309, 621.8406454324722, 1.7380994570978594E9, 2025-01-28 13:24:17.097
 -736.9697256684303, 517.2431234717369, 1.7380994570979023E9, 2025-01-28 13:24:17.097
 -588.5704954266548, 665.6423537135124, 1.7380994570987415E9, 2025-01-28 13:24:17.098
 -557.6938813924789, 692.6893101930618, 1.7380994570987823E9, 2025-01-28 13:24:17.098
 -726.9168745875359, 521.5514882206917, 1.7380994570994768E9, 2025-01-28 13:24:17.099
 -658.701099395752, 595.7511033415794, 1.7380994570995283E9, 2025-01-28 13:24:17.099
 -550.9919806718826, 703.4602220654488, 1.7380994571002972E9, 2025-01-28 13:24:17.100
